Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ActivityLabel
383699,9.58,-1.48,3.04,-0.05,-0.03,-0.03,fall_forward
383719,9.52,-1.42,3.06,-0.06,-0.00,-0.03,fall_forward
383739,9.52,-1.46,3.17,-0.08,-0.03,-0.03,fall_forward
383759,9.59,-1.45,3.00,-0.10,-0.02,-0.03,fall_forward
383779,9.50,-1.50,3.06,-0.08,-0.02,-0.04,fall_forward
383799,9.59,-1.48,3.00,-0.07,-0.03,-0.04,fall_forward
383819,9.57,-1.45,3.04,-0.08,-0.03,-0.03,fall_forward
383839,9.53,-1.49,2.84,-0.06,-0.00,-0.03,fall_forward
383859,9.46,-1.45,3.19,-0.05,-0.02,-0.03,fall_forward
383879,9.51,-1.46,3.10,-0.08,-0.02,-0.03,fall_forward
383899,9.53,-1.57,3.06,-0.08,-0.02,-0.04,fall_forward
383919,9.49,-1.55,3.07,-0.06,-0.04,-0.04,fall_forward
383939,9.56,-1.47,2.95,-0.05,-0.04,-0.04,fall_forward
383959,9.53,-1.49,2.99,-0.06,-0.04,-0.03,fall_forward
383979,9.48,-1.55,2.98,-0.06,-0.04,-0.03,fall_forward
384045,9.46,-1.52,2.99,-0.06,-0.04,-0.04,fall_forward
384065,9.49,-1.47,3.06,-0.07,-0.05,-0.04,fall_forward
384085,9.51,-1.59,2.89,-0.07,-0.05,-0.04,fall_forward
384105,9.50,-1.60,2.89,-0.05,-0.05,-0.04,fall_forward
384125,9.53,-1.53,3.10,-0.05,-0.05,-0.04,fall_forward
384145,9.56,-1.57,2.95,-0.05,-0.05,-0.03,fall_forward
384165,9.61,-1.47,3.10,-0.07,-0.03,-0.04,fall_forward
384185,9.55,-1.54,3.02,-0.08,-0.04,-0.04,fall_forward
384205,9.33,-1.67,2.92,-0.02,-0.05,-0.05,fall_forward
384225,9.58,-1.39,3.03,-0.06,-0.06,-0.05,fall_forward
384245,9.63,-1.63,2.98,-0.05,-0.07,-0.04,fall_forward
384265,9.58,-1.47,3.19,-0.09,-0.08,-0.06,fall_forward
384285,9.63,-1.60,2.69,-0.11,-0.05,-0.05,fall_forward
